Easting,Northing,data
464115,5805055,1
464165,5805345,1
464105,5805145,1
463415,5805275,1
463365,5805065,1
463265,5804955,1
463805,5805345,1
463605,5805315,1
463695,5805225,1
463435,5805075,1
463965,5805065,1
463455,5804785,1
463295,5804615,1
463589,5804956,1
463437,5804588,1
463169,5804756,1
463277,5805150,1
463220,5804901,1
463430,5805340,1
463509,5804885,1
463401,5804853,1
463288,5804785,1
463770,5805271,1
463703,5805166,1
464041,5805277,1
463234,5805033,1
463613,5805252,1
463789,5805277,1
463954,5805017,1
463542,5805184,1
463339,5804604,1
463366,5804968,1
463453,5805215,1
463941,5805221,1
463574,5805023,1
463325,5805028,1
463164,5804671,1
463233,5804663,1
463523,5805324,1
463527,5804771,1
463375,5804777,1
463885,5805195,1
463947,5805290,1
